what_type_of_candle,time_entered,ema_distance,num_of_matches,line_degree_angle,ticker_symbol,strike_price,option_type,order_quantity,order_bid_price,total_investment,time_exited,lowest_bid,max_drawdown,highest_bid,max_gain,avg_sold_bid,total_profit,total_percentage
PDHL_1 PDH,08/12/2024-09:50 AM,0.4460968461575021,0,-7.6884477699023615,SPY,538.0,call,139,0.32,4448.0,08/12/2024-10:16:03 AM,0.24,25.000000000000007,0.41,28.12499999999999,0.3684892086330935,674.0,15.152877697841728
PDHL_1 PDH,08/13/2024-09:42 AM,0.3091708194116336,0,-2.290610042642952,SPY,540.0,call,112,0.4,4480.0,08/13/2024-10:32:01 AM,0.37,7.500000000000007,0.68,70.0,0.4919642857142857,1030.0,22.991071428571427
PDHL_1 PDH,08/14/2024-10:12 AM,0.4400751737332484,0,-11.585126224853132,SPY,545.0,call,113,0.4,4520.0,08/14/2024-11:16:02 AM,0.37,7.500000000000007,1.02,154.99999999999997,0.5139823008849558,1288.0,28.49557522123894
PDHL_1 PDH,08/14/2024-12:06 PM,0.2139750548352594,1,-7.6884477699023615,SPY,544.0,call,78,0.58,4523.999999999999,08/14/2024-12:12:02 PM,0.42,27.58620689655172,0.77,32.75862068965518,0.6633333333333333,650.0,14.367816091954024
PDHL_1 PDH,08/14/2024-12:16 PM,0.1178131151542629,2,-14.030850797103213,SPY,544.0,call,82,0.55,4510.000000000001,08/14/2024-12:28:02 PM,0.41,25.454545454545464,0.61,10.909090909090898,0.44,-902.0,-20.0
PDHL_1 PDH,08/14/2024-12:30 PM,0.2045463887177447,3,-3.361548513434101,SPY,544.0,call,81,0.56,4536.000000000001,08/14/2024-01:00:02 PM,0.41,26.78571428571429,0.66,17.85714285714285,0.44,-972.0,-21.428571428571427
PDHL_1 PDH,08/14/2024-01:14 PM,0.0298963164379983,4,-4.858462919035548,SPY,544.0,call,122,0.37,4514.0,08/14/2024-02:12:02 PM,0.28,24.32432432432432,0.81,118.91891891891892,0.4688524590163934,1206.0,26.71688081524148
PDHL_1 PDH,08/14/2024-02:44 PM,0.1780511422924746,5,-2.8094411085097164,SPY,543.0,call,65,0.7,4480.0,08/14/2024-02:59:01 PM,0.51,27.14285714285713,1.61,130.00000000000003,0.9065625,1322.0,29.508928571428573
PDHL_1 PDH,08/15/2024-08:50 AM,0.2665733513333634,0,-9.201973167958132,SPY,552.0,call,99,0.47,4653.0,08/15/2024-09:06:02 AM,0.28,40.42553191489361,0.61,29.787234042553195,0.5379797979797979,673.0,14.463786804212337
PDHL_1 PDH,08/15/2024-12:22 PM,0.0142543050745871,1,-2.4622017295860603,SPY,553.0,call,155,0.31,4650.0,08/15/2024-01:52:02 PM,0.28,-9.6774193548387,0.52,68.0,0.3907333333333333,1211.0,26.04301075268817
PDHL_1 PDH,08/19/2024-09:40 AM,0.2584430881888693,0,-7.685634238547339,SPY,557.0,call,144,0.33,4752.0,08/19/2024-10:18:02 AM,0.29,12.121212121212132,0.68,106.06060606060606,0.4216666666666666,1320.0,27.77777777777778
PDHL_8 PDH,08/19/2024-11:58 AM,0.3488794334688236,0,-2.296330445048326,SPY,558.0,call,116,0.41,4756.0,08/19/2024-12:12:02 PM,0.3,26.82926829268292,0.4,-2.439024390243892,0.3,-1276.0,-26.82926829268293
PDHL_8 PDH,08/19/2024-12:34 PM,0.0266659154434592,1,-3.148096099566396,SPY,557.0,call,69,0.69,4761.0,08/19/2024-01:12:02 PM,0.63,8.695652173913036,0.93,34.782608695652186,0.8172463768115942,878.0,18.44150388573829
PDHL_1 PDL,08/22/2024-12:14 PM,0.4724846262357687,0,17.614643300006804,SPY,556.0,put,96,0.5,4800.0,08/22/2024-12:20:03 PM,0.31,38.0,0.51,2.0000000000000018,0.36,-1344.0,-28.000000000000004
PDHL_1 PDL,08/22/2024-12:28 PM,0.0616002243114053,1,5.773617839297042,SPY,556.0,put,126,0.38,4788.0,08/22/2024-01:10:03 PM,0.34,10.52631578947368,1.42,273.6842105263158,0.5081746031746032,1615.0,33.730158730158735
PDHL_8 PDL,08/22/2024-02:36 PM,0.582321480206474,0,3.148096099566396,SPY,555.0,put,137,0.35,4795.0,08/22/2024-02:50:04 PM,0.08,77.14285714285714,0.32,-8.571428571428562,0.09,-3562.0,-74.28571428571429
PDHL_8 PDL,08/22/2024-02:52 PM,0.3471539735890019,1,12.81664764899752,SPY,555.0,put,200,0.24,4800.0,08/22/2024-02:59:01 PM,0.13,45.83333333333333,0.36,50.0,0.3455999999999999,2112.0,44.0
PDHL_1 PDH,08/29/2024-10:40 AM,0.2111940529564435,0,-5.521436414647783,SPY,564.0,call,128,0.38,4750.0,08/29/2024-10:42:02 AM,0.3,21.052631578947373,0.37,-2.6315789473684235,0.3,-1000.0,-21.052631578947366
PDHL_1 PDH,08/29/2024-10:50 AM,0.1593707952512204,1,-1.60386277115463,SPY,564.0,call,140,0.34,4760.0,08/29/2024-11:50:02 AM,0.27,20.58823529411765,0.64,88.23529411764704,0.4232857142857142,1166.0,24.49579831932773
PDHL_1 PDL,09/03/2024-10:32 AM,0.0637234599992098,0,3.738011803242733,SPY,554.0,put,99,0.48,4752.0,09/03/2024-10:36:02 AM,0.33,31.25,0.52,8.333333333333341,0.33,-1485.0,-31.25
PDHL_1 PDL,09/03/2024-10:42 AM,0.3139390506905783,1,3.012787504183355,SPY,554.0,put,97,0.49,4753.0,09/03/2024-11:06:02 AM,0.37,24.489795918367346,0.56,14.2857142857143,0.37,-1164.0,-24.489795918367346
PDHL_2 PDL,09/03/2024-01:30 PM,0.3840247654291033,0,4.0098745408846375,SPY,552.0,put,113,0.42,4746.0,09/03/2024-01:34:02 PM,0.27,35.71428571428571,0.42,0.0,0.29,-1469.0,-30.95238095238096
PDHL_2 PDL,09/03/2024-01:38 PM,0.0747484781326193,1,10.757967088393022,SPY,552.0,put,153,0.31,4743.0,09/03/2024-02:06:11 PM,0.25,19.35483870967742,0.52,67.74193548387098,0.3819607843137255,1101.0,23.213156230234027
PDHL_4 PDL,09/06/2024-01:14 PM,0.1719147796043216,0,4.004172940705757,SPY,538.0,put,131,0.35,4585.0,09/06/2024-01:30:01 PM,0.27,22.857142857142847,0.44,25.71428571428572,0.4023664122137404,686.0,14.961832061068703
PDHL_4 PDL,09/06/2024-01:34 PM,0.1800034651553232,1,11.30993247402272,SPY,538.0,put,128,0.36,4608.0,09/06/2024-01:42:02 PM,0.25,30.55555555555556,0.38,5.555555555555561,0.27,-1152.0,-25.0
PDHL_1 PDH,09/10/2024-08:46 AM,0.1240008428145529,0,-5.483590444464646,SPY,551.0,call,99,0.46,4554.0,09/10/2024-08:58:02 AM,0.34,26.08695652173913,0.49,6.521739130434775,0.36,-990.0,-21.73913043478261
PDHL_1 PDH,09/10/2024-01:40 PM,0.3495155823335381,1,-2.6718645932717866,SPY,549.0,call,131,0.36,4572.0,09/10/2024-01:52:03 PM,0.22,38.888888888888886,0.36,0.0,0.23,-1651.0,-36.11111111111111
PDHL_1 PDL,09/11/2024-09:56 AM,0.4203278184875216,0,2.0045340321040825,SPY,536.0,put,111,0.39,4446.0,09/11/2024-10:00:02 AM,0.24,38.46153846153847,0.36,-7.692307692307699,0.24,-1710.0,-38.46153846153847
PDHL_1 PDH,09/11/2024-01:05 PM,0.3513353279805642,0,-6.842773412631197,SPY,552.0,call,131,0.34,4454.0,09/11/2024-01:18:02 PM,0.18,47.05882352941177,0.39,14.705882352941172,0.18,-2096.0,-47.05882352941176
PDHL_1 PDH,09/11/2024-02:07 PM,0.0970506004518938,1,-6.519801751656451,SPY,553.0,call,139,0.32,4448.0,09/11/2024-02:42:02 PM,0.33,3.13,0.96,200.0,0.423,1438.0,32.33
PDHL_1 PDH,09/12/2024-09:50 AM,0.1917364854298284,0,-4.004172940712239,SPY,559.0,call,120,0.36,4320.0,09/12/2024-10:00:02 AM,0.19,47.22222222222222,0.37,2.7777777777777803,0.19,-2040.0,-47.22222222222222
PDHL_1 PDH,09/12/2024-11:30 AM,0.2129854411693941,1,-4.716221234337245,SPY,558.0,call,131,0.33,4323.0,09/12/2024-01:10:02 PM,0.27,18.18181818181818,1.84,457.5757575757575,0.4448091603053434,1504.0,34.79065463798288
PDHL_2 PDH,09/12/2024-02:06 PM,0.0190788379076138,0,-4.573921259903191,SPY,559.0,call,83,0.52,4316.0,09/12/2024-02:32:02 PM,0.35,32.6923076923077,0.6,15.384615384615378,0.4,-996.0,-23.07692307692308
PDHL_2 PDH,09/12/2024-02:34 PM,0.0577291724043789,1,-1.9473063725613493,SPY,559.0,call,96,0.45,4320.0,09/12/2024-02:48:05 PM,0.34,24.44444444444444,0.63,40.0,0.5166666666666667,640.0,14.814814814814811
resistance_1 PDH,09/13/2024-10:56 AM,0.2723222785560892,0,-2.433606100716827,SPY,564.0,call,89,0.48,4272.0,09/13/2024-11:10:02 AM,0.34,29.166666666666657,0.52,8.333333333333341,0.36,-1068.0,-25.0
resistance_1 PDH,09/13/2024-12:16 PM,0.308236939972403,1,-2.481264801195194,SPY,564.0,call,134,0.32,4288.0,09/13/2024-12:58:02 PM,0.22,31.25,0.41,28.12499999999999,0.3719402985074627,696.0,16.23134328358209
PDHL_1 PDH,09/17/2024-08:48 AM,0.1591621178575906,0,-1.81376024712517,SPY,568.0,call,133,0.32,4256.0,09/17/2024-08:50:02 AM,0.21,34.37500000000001,0.31,-3.1250000000000027,0.22,-1330.0,-31.25
PDHL_1 PDH,09/17/2024-09:26 AM,0.4226540394118956,1,-7.127837046839775,SPY,568.0,call,97,0.44,4268.0,09/17/2024-09:34:02 AM,0.24,45.45454545454546,0.43,-2.2727272727272747,0.28,-1552.0,-36.36363636363637
PDHL_1 PDH,09/19/2024-09:14 AM,0.324343029779925,0,-2.6066658477851146,SPY,573.0,call,89,0.46,4094.0,09/19/2024-09:42:04 AM,0.39,15.217391304347828,0.81,76.08695652173914,0.5670786516853933,953.0,23.27796775769419
PDHL_1 PDH,09/19/2024-10:12 AM,0.164264944856427,1,-5.316380426556752,SPY,573.0,call,108,0.39,4134.0,09/19/2024-10:34:03 AM,0.29,25.64102564102565,0.44,12.820512820512816,0.3,-954.0,-23.07692307692308
PDHL_1 PDL,09/20/2024-08:56 AM,0.2738686837589057,0,2.5765718302697405,SPY,563.0,put,111,0.37,4107.0,09/20/2024-09:20:02 AM,0.29,21.621621621621625,0.48,29.729729729729726,0.4256756756756756,618.0,15.047479912344777
resistance_1 PDH,09/20/2024-11:36 AM,0.2456278082579501,0,-2.8681204873107053,SPY,569.0,call,86,0.48,4128.0,09/20/2024-12:00:02 PM,0.46,4.166666666666659,0.66,37.500000000000014,0.5686046511627907,762.0,18.4593023255814
PDHL_1 PDL,09/20/2024-01:18 PM,0.3403320912826757,1,13.495733280796305,SPY,566.0,put,108,0.39,4134.0,09/20/2024-01:48:02 PM,0.27,30.769230769230766,0.61,56.4102564102564,0.4669811320754717,816.0,19.738751814223512
PDHL_1 PDH,09/23/2024-09:30 AM,0.2628962591043091,0,-12.543973346570372,SPY,571.0,call,88,0.48,4224.0,09/23/2024-09:36:02 AM,0.35,27.083333333333336,0.48,0.0,0.35,-1144.0,-27.08333333333333
PDHL_1 PDH,09/23/2024-09:44 AM,0.2191332003169463,1,-5.551000218055168,SPY,571.0,call,98,0.43,4214.0,09/23/2024-10:02:02 AM,0.3,30.232558139534888,0.49,13.953488372093023,0.33,-980.0,-23.25581395348837
PDHL_1 PDH,09/24/2024-11:06 AM,0.3065731885396872,0,-3.4336303624513014,SPY,571.0,call,62,0.66,4092.0,09/24/2024-11:26:02 AM,0.48,27.27272727272728,0.66,0.0,0.49,-1054.0,-25.75757575757576
PDHL_1 PDH,09/24/2024-11:34 AM,0.0664258165215869,1,-4.561111461854758,SPY,571.0,call,75,0.55,4125.000000000001,09/24/2024-11:54:03 AM,0.53,3.636363636363639,0.76,38.18181818181817,0.6456000000000001,717.0,17.381818181818183
PDHL_1 PDH,09/25/2024-08:46 AM,0.1520478300262766,0,-5.139922774570298,SPY,573.0,call,111,0.37,4107.0,09/25/2024-08:50:02 AM,0.28,24.32432432432432,0.38,2.7027027027027053,0.28,-999.0,-24.324324324324326
PDHL_1 PDH,09/25/2024-09:18 AM,0.1307310060582267,1,-3.576334374997351,SPY,573.0,call,117,0.35,4095.0,09/25/2024-09:22:02 AM,0.27,22.857142857142847,0.34,-2.857142857142844,0.27,-936.0,-22.857142857142858
PDHL_1 PDH,10/04/2024-01:42 PM,0.2762830582156539,0,-3.718993973156832,SPY,571.0,call,68,0.59,4012.0,10/04/2024-02:18:02 PM,0.46,22.033898305084737,0.9,52.542372881355945,0.7261764705882352,926.0,23.08075772681954
PDHL_1 PDH,10/08/2024-02:50 PM,0.1935303499584506,0,-4.28915332882161,SPY,573.0,call,66,0.61,4026.0,10/08/2024-02:59:02 PM,0.47,22.95081967213115,0.79,29.508196721311485,0.7200000000000001,726.0,18.0327868852459
PDHL_1 PDH,10/09/2024-10:14 AM,0.4074607441338003,0,-2.2877498242928063,SPY,577.0,call,108,0.38,4104.0,10/09/2024-11:02:03 AM,0.34,10.52631578947368,1.07,181.57894736842107,0.4971296296296296,1265.0,30.82358674463937
PDHL_1 PDH,10/09/2024-11:42 AM,0.115182938370026,1,-1.7183580016538953,SPY,578.0,call,136,0.3,4080.0,10/09/2024-11:52:02 AM,0.23,23.33333333333333,0.31,3.3333333333333366,0.24,-816.0,-20.0
PDHL_1 PDH,10/11/2024-10:08 AM,0.1965129131725689,0,-2.385944030389041,SPY,581.0,call,121,0.34,4114.0,10/11/2024-10:20:02 AM,0.25,26.470588235294123,0.44,29.411764705882344,0.3835537190082644,527.0,12.8099173553719
PDHL_1 PDH,10/11/2024-10:34 AM,0.1077543935469975,1,-2.862405226115646,SPY,580.0,call,67,0.61,4087.0,10/11/2024-11:14:03 AM,0.4,34.42622950819671,0.69,13.114754098360647,0.42,-1273.0,-31.14754098360656
PDHL_1 PDH,10/14/2024-09:12 AM,0.1735727530341364,0,-6.842773412631197,SPY,584.0,call,89,0.46,4094.0,10/14/2024-09:20:03 AM,0.31,32.60869565217392,0.45,-2.1739130434782625,0.35,-979.0,-23.91304347826087
PDHL_1 PDH,10/14/2024-09:22 AM,0.210035207210808,1,-3.6476698351584624,SPY,584.0,call,93,0.44,4092.0,10/14/2024-09:50:06 AM,0.43,2.2727272727272747,0.67,52.27272727272728,0.5311827956989247,848.0,20.72336265884653
PDHL_1 PDL,10/15/2024-01:36 PM,0.2761419576183925,0,5.000644597559295,SPY,580.0,put,104,0.39,4056.0,10/15/2024-02:22:03 PM,0.29,25.64102564102565,1.32,238.46153846153845,0.5175,1326.0,32.69230769230769
PDHL_1 PDL,10/15/2024-02:32 PM,0.3241809464882408,1,1.489354726551456,SPY,579.0,put,110,0.37,4070.0,10/15/2024-02:42:04 PM,0.23,37.83783783783783,0.7,89.18918918918918,0.4389090909090908,758.0,18.624078624078624
PDHL_1 PDH,10/17/2024-10:38 AM,0.3313763303875703,0,-3.430775841189976,SPY,585.0,call,82,0.5,4150.0,10/17/2024-11:12:02 AM,0.42,16.000000000000004,0.83,65.99999999999999,0.6078313253012049,895.0,21.56626506024096
PDHL_1 PDL,10/21/2024-10:38 AM,0.3068225851982333,0,7.544910393736283,SPY,579.0,put,111,0.38,4218.0,10/21/2024-10:40:03 AM,0.24,36.8421052631579,0.37,-2.6315789473684235,0.24,-1554.0,-36.84210526315789
PDHL_1 PDL,10/21/2024-11:22 AM,0.0303731586757294,1,4.763641690726717,SPY,581.0,put,117,0.36,4212.0,10/21/2024-11:26:02 AM,0.28,22.22222222222221,0.35,-2.7777777777777803,0.28,-936.0,-22.22222222222222
PDHL_1 PDL,10/23/2024-11:18 AM,0.3506141568587964,0,1.7183580016538953,SPY,577.0,put,93,0.44,4092.0,,,,,,,,
PDHL_1 PDH,10/25/2024-09:20 AM,0.2932661009228923,0,-2.69092138783644,SPY,585.0,call,92,0.45,4140.0,10/25/2024-09:40:03 AM,0.37,17.777777777777782,0.64,42.22222222222222,0.5355434782608696,787.0,19.0096618357488
PDHL_1 PDH,10/25/2024-09:42 AM,0.0721873353792261,1,-2.433606100721162,SPY,585.0,call,92,0.45,4140.0,10/25/2024-09:44:03 AM,0.36,20.000000000000004,0.47,4.444444444444437,0.36,-828.0,-20.0
PDHL_1 PDH,10/30/2024-10:50 AM,0.2039535501386353,0,-2.099904517644892,SPY,585.0,call,130,0.32,4160.0,10/30/2024-11:10:02 AM,0.25,21.875000000000004,0.37,15.624999999999996,0.25,-910.0,-21.875
PDHL_5 PDH,11/06/2024-10:26 AM,0.3896111043649171,0,-2.7195054612725884,SPY,590.0,call,105,0.39,4095.0,11/06/2024-10:54:02 AM,0.38,2.5641025641025665,0.57,46.15384615384613,0.4635238095238095,772.0,18.852258852258853
PDHL_5 PDH,11/06/2024-11:08 AM,0.1227315534322315,1,-3.052882514794528,SPY,590.0,call,87,0.47,4089.0,11/06/2024-11:18:02 AM,0.39,17.021276595744673,0.59,25.53191489361702,0.5442528735632184,646.0,15.798483736854976
PDHL_1 PDH,11/07/2024-08:52 AM,0.2985575205661916,0,-7.032854535046138,SPY,597.0,call,102,0.41,4182.0,11/07/2024-10:04:02 AM,0.37,9.756097560975606,0.59,43.90243902439025,0.4984313725490196,902.0,21.5686274509804
PDHL_1 PDH,11/07/2024-10:22 AM,0.0842926956089513,1,-2.830652739954381,SPY,597.0,call,91,0.46,4186.0,11/07/2024-11:04:02 AM,0.42,8.69565217391305,0.62,34.782608695652165,0.5484615384615386,805.0,19.23076923076924
PDHL_1 PDH,11/08/2024-08:48 AM,0.3606045987510242,0,-4.194182788390943,SPY,598.0,call,79,0.54,4266.0,11/08/2024-09:06:03 AM,0.42,22.22222222222223,0.71,31.481481481481467,0.6187341772151899,622.0,14.580403187998126
PDHL_1 PDH,11/08/2024-09:18 AM,0.1556120323973573,1,-4.98033666798048,SPY,598.0,call,90,0.48,4272.0,11/08/2024-10:04:02 AM,0.49,-2.083333333333336,0.79,64.58333333333334,0.589438202247191,974.0,22.799625468164795
PDHL_1 PDL,11/12/2024-11:14 AM,0.2701887644579983,0,2.6611925293973218,SPY,595.0,put,108,0.4,4320.0,11/12/2024-11:28:02 AM,0.25,37.50000000000001,0.43,7.499999999999993,0.26,-1512.0,-35.0
PDHL_1 PDL,11/12/2024-11:38 AM,0.0531605196097189,1,4.574937890739933,SPY,595.0,put,140,0.31,4340.0,11/12/2024-12:14:03 PM,0.26,16.129032258064512,1.21,290.3225806451613,0.4158571428571429,1482.0,34.147465437788014
PDHL_1 PDL,11/14/2024-02:22 PM,0.2630074168509964,0,7.243455610878428,SPY,593.0,put,174,0.25,4350.0,11/14/2024-02:24:04 PM,0.12,52.0,0.26,4.000000000000004,0.12,-2262.0,-52.0
PDHL_1 PDL,11/14/2024-02:32 PM,0.2651935903751337,1,4.94041870392075,SPY,594.0,put,76,0.58,4349.999999999999,11/14/2024-02:59:01 PM,0.44,24.137931034482754,1.29,122.41379310344828,0.7479999999999999,1260.0,28.96551724137932
resistance_3 Buffer,11/15/2024-09:50 AM,0.0913704728835682,0,6.447075002861778,SPY,585.0,put,86,0.49,4263.0,11/15/2024-10:12:03 AM,0.31,36.734693877551024,0.66,34.69387755102042,0.5529885057471264,548.0,12.854797091250294
resistance_3 Buffer,11/15/2024-10:36 AM,0.4471370519277116,1,3.776909082591256,SPY,585.0,put,91,0.47,4277.0,11/15/2024-10:48:02 AM,0.39,17.021276595744673,0.73,55.319148936170215,0.5667032967032967,880.0,20.575169511339723
PDHL_5 PDL,11/15/2024-12:42 PM,0.1576298412932146,0,7.125016348901798,SPY,584.0,put,110,0.39,4290.0,11/15/2024-01:02:02 PM,0.37,5.128205128205133,0.85,117.94871794871791,0.4896363636363636,1096.0,25.547785547785544
